884 	 19.182 	 -8.269 	 6.439 	 - 	 485.82 	 294.70 
885 	 22.363 	 -7.952 	 6.032 	 - 	 433.99 	 296.18 
886 	 26.275 	 -7.564 	 5.563 	 - 	  NaN 	  NaN 
887 	 26.890 	 -7.429 	 5.541 	 - 	  NaN 	  NaN 
888 	 25.424 	 -7.392 	 5.754 	 - 	  NaN 	  NaN 
889 	 23.695 	 -7.470 	 6.003 	 - 	  NaN 	  NaN 
890 	 21.444 	 -7.565 	 6.210 	 - 	  NaN 	  NaN 
891 	 15.252 	 -8.092 	 6.840 	 - 	  NaN 	  NaN 
892 	 11.530 	 -8.457 	 7.336 	 - 	  NaN 	  NaN 
893 	 7.639 	 -8.779 	 7.890 	 - 	  NaN 	  NaN 
894 	 -0.226 	 -9.206 	 8.982 	 - 	  NaN 	  NaN 
895 	 -3.772 	 -9.313 	 9.502 	 - 	  NaN 	  NaN 
896 	 -9.490 	 -9.137 	 10.405 	 - 	  NaN 	  NaN 
897 	 -11.225 	 -8.977 	 10.716 	 - 	 436.12 	 284.19 
898 	 -12.044 	 -8.800 	 10.865 	 - 	 440.75 	 288.08 
899 	 -11.433 	 -8.501 	 10.618 	 - 	 437.73 	 289.19 
900 	 -10.569 	 -8.410 	 10.434 	 - 	 422.71 	 290.23 
901 	 -9.672 	 -8.364 	 10.276 	 - 	 448.61 	 282.90 
902 	 -8.149 	 -8.343 	 10.079 	 - 	 482.45 	 273.67 
903 	 -7.538 	 -8.392 	 9.975 	 - 	 478.75 	 275.46 
904 	 -7.057 	 -8.400 	 9.863 	 - 	 471.62 	 271.46 
905 	 -6.623 	 -8.247 	 9.741 	 - 	 465.90 	 271.14 
906 	 -6.536 	 -8.192 	 9.719 	 - 	  NaN 	  NaN 
907 	 -6.398 	 -8.092 	 9.681 	 - 	  NaN 	  NaN 
908 	 -6.301 	 -8.030 	 9.686 	 - 	  NaN 	  NaN 
909 	 -6.178 	 -7.963 	 9.680 	 - 	  NaN 	  NaN 
910 	 -5.925 	 -7.843 	 9.591 	 - 	  NaN 	  NaN 
911 	 -5.814 	 -7.784 	 9.556 	 - 	  NaN 	  NaN 
912 	 -5.742 	 -7.730 	 9.551 	 - 	  NaN 	  NaN 
913 	 -5.660 	 -7.688 	 9.527 	 - 	  NaN 	  NaN 
914 	 -5.600 	 -7.715 	 9.508 	 - 	  NaN 	  NaN 
915 	 -5.501 	 -7.751 	 9.495 	 - 	  NaN 	  NaN 
916 	 -5.239 	 -7.687 	 9.471 	 - 	  NaN 	  NaN 
917 	 -5.111 	 -7.636 	 9.474 	 - 	  NaN 	  NaN 
918 	 -4.841 	 -7.553 	 9.453 	 - 	  NaN 	  NaN 
919 	 -4.707 	 -7.533 	 9.458 	 - 	 381.32 	 345.87 
920 	 -4.598 	 -7.517 	 9.470 	 - 	 378.82 	 343.27 
921 	 -4.259 	 -7.395 	 9.352 	 - 	 372.28 	 345.24 
922 	 -4.001 	 -7.321 	 9.282 	 - 	  NaN 	  NaN 
923 	 -3.783 	 -7.245 	 9.263 	 - 	  NaN 	  NaN 
924 	 -3.529 	 -7.110 	 9.281 	 - 	  NaN 	  NaN 
925 	 -3.477 	 -7.057 	 9.295 	 - 	  NaN 	  NaN 
926 	 -3.479 	 -6.933 	 9.321 	 - 	  NaN 	  NaN 
927 	 -3.480 	 -6.882 	 9.289 	 - 	  NaN 	  NaN 
928 	 -3.459 	 -6.874 	 9.236 	 - 	  NaN 	  NaN 
929 	 -3.329 	 -6.916 	 9.226 	 - 	  NaN 	  NaN 
930 	 -3.307 	 -6.916 	 9.226 	 - 	  NaN 	  NaN 
931 	 -3.076 	 -6.945 	 9.225 	 - 	  NaN 	  NaN 
932 	 -2.701 	 -6.936 	 9.152 	 - 	  NaN 	  NaN 
933 	 -2.502 	 -6.920 	 9.099 	 - 	  NaN 	  NaN 
934 	 -2.321 	 -6.915 	 9.062 	 - 	 414.92 	 285.51 
